Model,BERT Score,Hallucination Score
Answer by RAG,1.0,-4.440892098500626e-16
Answer by Gemini,0.814758837223053,0.42916207695043596
Answer by Chatgpt,0.8241839408874512,0.32558154421684893
Answer By Deepseek,0.8523396849632263,0.2561045335035105
Answer by RAG,1.0,-3.3306690738754696e-15
Answer by Gemini,0.8363761305809021,0.33834099670148077
Answer by Chatgpt,0.8274310827255249,0.3548988810032935
Answer By Deepseek,0.8454701900482178,0.44960651440413657
Answer by RAG,1.0,-6.661338147750939e-16
Answer by Gemini,0.8086617588996887,0.5373703794342984
Answer by Chatgpt,0.81447833776474,0.4294223840459953
Answer By Deepseek,0.8349331021308899,0.474113148913324
Answer by RAG,1.0,4.440892098500626e-16
Answer by Gemini,0.8311861753463745,0.5259422892439982
Answer by Chatgpt,0.8330734372138977,0.5669332419503471
Answer By Deepseek,0.8151023983955383,0.6079779025152504
Answer by RAG,1.0,-2.220446049250313e-16
Answer by Gemini,0.824621319770813,0.3498436319005568
Answer by Chatgpt,0.8141465187072754,0.3534388241867228
Answer By Deepseek,0.8418185114860535,0.5937417745944993
Answer by RAG,1.0,2.220446049250313e-16
Answer by Gemini,0.7898658514022827,0.39294948924395456
Answer by Chatgpt,0.7928274273872375,0.3367116887905858
Answer By Deepseek,0.8207862973213196,0.769857145223694
Answer by RAG,1.0,-1.1102230246251565e-15
Answer by Gemini,0.8324386477470398,0.32644148753113855
Answer by Chatgpt,0.8243131041526794,0.43951850024519
Answer By Deepseek,0.8465080857276917,0.5990523431872707
Answer by RAG,1.0,-4.440892098500626e-16
Answer by Gemini,0.8189703822135925,0.34981769511122507
Answer by Chatgpt,0.8226462602615356,0.3702103980030801
Answer By Deepseek,0.8527920842170715,0.48387823868324553
Answer by RAG,1.0,-8.881784197001252e-16
Answer by Gemini,0.7952002882957458,0.3682890078230111
Answer by Chatgpt,0.7988962531089783,0.48092452342121195
Answer By Deepseek,0.8366998434066772,0.6150664127651384
Answer by RAG,1.0,0.0
Answer by Gemini,0.8054055571556091,0.5277517514775459
Answer by Chatgpt,0.8054071068763733,0.5849523043673003
Answer By Deepseek,0.8172225952148438,0.8763412842673506
Answer by RAG,1.0,2.220446049250313e-16
Answer by Gemini,0.82506263256073,0.3054769804664109
Answer by Chatgpt,0.8446546196937561,0.30370530787834793
Answer By Deepseek,0.8252757787704468,0.7727464729823005
Answer by RAG,1.0,0.0
Answer by Gemini,0.8190335035324097,0.4609559804895135
Answer by Chatgpt,0.807899534702301,0.5119078263373991
Answer By Deepseek,0.8348145484924316,0.6595855311413106
Answer by RAG,1.0,-8.881784197001252e-16
Answer by Gemini,0.8326820731163025,0.21400500920679844
Answer by Chatgpt,0.8348423838615417,0.2272422742536665
Answer By Deepseek,0.83590167760849,0.4520242597476398
Answer by RAG,1.0,-4.440892098500626e-16
Answer by Gemini,0.8297698497772217,0.26030316510443663
Answer by Chatgpt,0.830180823802948,0.274410901396245
Answer By Deepseek,0.8363144993782043,0.476290489072024
