Model,BERT Score,Hallucination Score
Answer by RAG,1.0,-2.220446049250313e-16
Answer by Gemini,0.8242315649986267,0.3737733911739948
Answer by Chatgpt,0.8255894184112549,0.3804666155961923
Answer By Deepseek,0.8522958159446716,0.32597473587346193
Answer by RAG,1.0,5.551115123125783e-16
Answer by Gemini,0.8253921270370483,0.3378918841757156
Answer by Chatgpt,0.8280112147331238,0.3592467154085849
Answer By Deepseek,0.860641598701477,0.3521457576701774
Answer by RAG,1.0,-6.661338147750939e-16
Answer by Gemini,0.8180366158485413,0.4960235746025188
Answer by Chatgpt,0.8199763894081116,0.46347903399336365
Answer By Deepseek,0.8280358910560608,0.45788929442600723
Answer by RAG,1.0,2.220446049250313e-16
Answer by Gemini,0.8402730822563171,0.3443173788014955
Answer by Chatgpt,0.8346238732337952,0.3411438598573153
Answer By Deepseek,0.8506135940551758,0.31859210180013653
Answer by RAG,1.0,4.440892098500626e-16
Answer by Gemini,0.8319142460823059,0.2653086179519324
Answer by Chatgpt,0.8105198740959167,0.32497711334120605
Answer By Deepseek,0.8413091897964478,0.44699333366749994
Answer by RAG,1.0,-1.3322676295501878e-15
Answer by Gemini,0.7938037514686584,0.3745098471350735
Answer by Chatgpt,0.7976590394973755,0.3679801488270439
Answer By Deepseek,0.8311414122581482,0.615112482543573
Answer by RAG,1.0,-6.661338147750939e-16
Answer by Gemini,0.8387649059295654,0.35971067131502554
Answer by Chatgpt,0.8337761163711548,0.45520752567147293
Answer By Deepseek,0.8390130400657654,0.5281650707885601
Answer by RAG,1.0,-8.881784197001252e-16
Answer by Gemini,0.8172374963760376,0.33767071567110263
Answer by Chatgpt,0.8216303586959839,0.3563495853275389
Answer By Deepseek,0.8587151169776917,0.36761301119552314
Answer by RAG,1.0,-2.220446049250313e-16
Answer by Gemini,0.81605464220047,0.35337951167412984
Answer by Chatgpt,0.8159142732620239,0.4625616214181052
Answer By Deepseek,0.8368089199066162,0.4185400345394479
Answer by RAG,1.0,2.6645352591003757e-15
Answer by Gemini,0.817780077457428,0.49766862858516125
Answer by Chatgpt,0.8156830668449402,0.5717966558337219
Answer By Deepseek,0.8292896747589111,0.5573822948419933
Answer by RAG,1.0,-2.220446049250313e-16
Answer by Gemini,0.8732922077178955,0.29835842447350824
Answer by Chatgpt,1.0,-2.220446049250313e-16
Answer By Deepseek,0.820845901966095,0.521134996203048
Answer by RAG,1.0,2.220446049250313e-16
Answer by Gemini,0.8285253643989563,0.4820487551267839
